diary,count,mean,std,min,25%,50%,75%,max
71,384.0,0.8443593749999999,0.08101861962846137,0.581,0.791,0.8565,0.90525,1.0
72,382.0,0.8668612565445025,0.07288288607712642,0.583,0.822,0.869,0.9177500000000001,1.0
73,106.0,0.8858773584905661,0.05973013960906068,0.668,0.85425,0.8895,0.9177500000000001,1.0
74,220.0,0.8911318181818181,0.05493803804356668,0.677,0.85675,0.8955,0.92825,1.0
75,180.0,0.8932611111111112,0.05587359675554271,0.738,0.86575,0.895,0.9315,1.0
76,86.0,0.8609767441860469,0.07606467476379575,0.633,0.816,0.875,0.90375,1.0
77,226.0,0.8682522123893807,0.06951286448145344,0.541,0.8282499999999999,0.8785000000000001,0.914,1.0
78,16.0,0.8736875,0.04653417203160132,0.793,0.843,0.8705,0.90575,0.945
79,53.0,0.852132075471698,0.08312317961820485,0.608,0.81,0.844,0.899,1.0
80,249.0,0.8343293172690762,0.06810378098025242,0.5,0.797,0.839,0.875,1.0
81,63.0,0.853031746031746,0.056113067954704623,0.717,0.8194999999999999,0.859,0.8905000000000001,1.0
82,69.0,0.8608260869565219,0.0676333011696899,0.691,0.815,0.864,0.915,1.0
83,164.0,0.9278353658536587,0.06259944505124806,0.65,0.89975,0.9395,0.9675,1.0
84,135.0,0.9403037037037039,0.050959491385801844,0.79,0.905,0.944,1.0,1.0
85,33.0,0.862969696969697,0.05213772917024966,0.717,0.835,0.866,0.889,0.951
86,27.0,0.8121111111111111,0.06282046049186726,0.664,0.7665,0.81,0.859,0.919
87,81.0,0.845716049382716,0.06670873903918086,0.605,0.81,0.854,0.889,0.983
88,192.0,0.845890625,0.056727450861842214,0.702,0.8107500000000001,0.8485,0.887,1.0
89,35.0,0.8778285714285714,0.05504462666209798,0.802,0.8294999999999999,0.877,0.91,1.0
90,98.0,0.8098877551020408,0.06413739804434047,0.624,0.77375,0.8115,0.86175,0.962
91,32.0,0.8557812499999999,0.05597680071013292,0.675,0.823,0.855,0.89725,0.956
92,463.0,0.850561555075594,0.06526841011251514,0.615,0.8095000000000001,0.857,0.898,1.0
93,65.0,0.866,0.07411140263144397,0.66,0.839,0.876,0.92,1.0
94,89.0,0.8429887640449438,0.08063984104168227,0.598,0.795,0.846,0.9,1.0
